drop_server,site,from,to,pages
googletagmanager.eu,www.oddbins.com,2018-11-01,2018-11-08,9
g-analytics.com,www.visiondirect.fr,2018-11-03,2018-11-07,53
magento.name,upmarketpets.com,2018-11-07,2018-11-07,1
g-analytics.com,www.visiondirect.it,2018-11-04,2018-11-07,2
g-analytics.com,www.visiondirect.es,2018-11-05,2018-11-07,26
upgradenstore.com,www.armysurplusworld.com,2018-11-06,2018-11-06,1
g-analytics.com,www.ozarksource.com,2018-11-06,2018-11-06,1
upgradenstore.com,www.princesspolly.com,2018-11-01,2018-11-06,3
locatefyou.com,www.jjroofingsupplies.co.uk,2018-11-01,2018-11-06,10
g-analytics.com,www.prospin.com.br,2018-11-06,2018-11-06,1
web-stats.cc,www.baleyo.com,2018-11-06,2018-11-06,1
maxijs.com,copperlab.com,2018-11-05,2018-11-05,9
gamacdn.com,csvape.com,2018-11-03,2018-11-05,2
valdatecode.com,www.pfiwestern.com,2018-11-01,2018-11-05,15
googletagmanager.eu,erecycleronline.com,2018-11-05,2018-11-05,1
magento.name,nicoman.co.uk,2018-11-01,2018-11-05,2
minifyscripts.com,shop.bombingscience.com,2018-11-03,2018-11-04,4
web-stats.cc,shelfadditions.com,2018-11-04,2018-11-04,2
jspoi.com,store.asqgrp.com,2018-11-01,2018-11-04,3
trafficanalyzer.biz,www.irishnewsarchive.com,2018-11-03,2018-11-03,1
magento.name,www.cochesdemetal.es,2018-11-01,2018-11-03,2
magento.name,originalnye-zapchasti.com,2018-11-02,2018-11-02,1
googletagmanager.eu,www.exeltek.com.au,2018-11-02,2018-11-02,2
g-analytics.com,www.hyperparapharmacie.com,2018-11-02,2018-11-02,1
googletagmanager.eu,www.google.co.uk,2018-11-02,2018-11-02,1
amasty.biz,www.decantshop.com,2018-11-01,2018-11-01,1
jspoi.com,massivejoes.com,2018-11-01,2018-11-01,4
cdnrfv.com,www.versare.com,2018-11-01,2018-11-01,18
magento.name,www.yourdezire.co.uk,2018-11-01,2018-11-01,2
allacarts.com,www.plumprettysugar.com,2018-11-01,2018-11-01,6
